,Quality Class,Corners,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,4000,4200,4400,4600,5000
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
232,,,282.07,269.61,259.66,251.64,244.81,238.97,233.92,225.56,218.74,213.23,204.48,,,,,,,,,,,,,,,
233,,,252.96,241.79,232.94,225.65,219.51,214.28,209.8,202.19,196.18,191.28,183.36,,,,,,,,,,,,,,,
234,,,227.67,217.67,209.73,203.17,197.58,192.94,188.82,182.09,176.62,172.07,165.12,,,,,,,,,,,,,,,
235,SemiLuxury-BestStd,,203.66,194.71,187.47,181.58,176.72,172.54,168.89,162.79,157.98,153.93,147.66,,,,,,,,,,,,,,,
236,,,182.62,174.57,168.19,162.96,158.47,154.76,151.47,146.03,141.69,138.06,132.43,,,,,,,,,,,,,,,
237,Best Std-GoodStd,,159.37,152.36,146.78,142.23,138.34,135.11,132.2,127.43,123.6,120.53,115.58,,,,,,,,,,,,,,,
238,,,135.99,129.98,125.2,121.35,118.04,115.21,112.77,108.73,105.43,102.8,98.57,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,1.54,1.19,1.07,1.03,0.95,0.94,0.87,0.85,0.85,0.85,0.85,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
244,,,212.37,202.98,195.52,189.44,184.28,179.9,176.14,169.83,164.67,160.49,153.95,,,,,,,,,,,,,,,
245,,,171.42,163.88,157.89,152.95,148.75,145.24,142.16,137.11,132.97,129.56,124.35,,,,,,,,,,,,,,,
246,,,137.49,131.45,126.61,122.69,119.3,116.51,114.05,109.95,106.65,103.93,99.7,,,,,,,,,,,,,,,
247,,,102.39,97.84,94.26,91.36,88.88,86.75,84.9,81.86,79.38,77.39,74.21,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
250,,,51.66,49.64,48,46.66,45.48,44.54,43.75,42.3,41.18,40.2,38.69,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
253,,,1.23,1.09,1.08,1.06,1.05,1.01,0.99,0.95,0.93,0.93,0.9,,,,,,,,,,,,,,,
254,,,1.09,1.08,1.05,1.01,0.99,0.95,0.95,0.93,0.9,0.89,0.85,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
